"","glbq","suicide","hopeless","fight","rape","bully","ebully","academictrouble"
"253",0,0,0,1,0,0,0,FALSE
"254",1,1,1,1,1,1,1,FALSE
"255",1,0,0,1,0,0,0,FALSE
"256",1,0,0,0,0,0,0,FALSE
"257",0,0,0,0,0,0,0,FALSE
"258",1,0,1,1,0,1,1,FALSE
"259",0,0,0,0,0,0,0,FALSE
"261",0,0,0,1,0,0,0,FALSE
"262",0,0,0,1,0,0,0,FALSE
"263",0,0,1,1,0,0,0,FALSE
"264",0,0,1,1,0,0,0,FALSE
"267",0,1,1,1,1,1,1,FALSE
"268",1,0,1,1,0,1,0,FALSE
"269",0,0,1,0,0,0,0,FALSE
"271",0,1,1,0,1,0,0,FALSE
"275",0,0,1,1,0,0,0,FALSE
"276",0,0,0,1,0,0,0,FALSE
"277",0,0,0,0,0,0,0,FALSE
"282",0,0,0,1,0,0,0,FALSE
"283",0,0,0,1,0,0,0,FALSE
"284",0,0,1,1,0,1,0,FALSE
"285",0,0,0,1,0,1,1,FALSE
"286",0,0,0,0,0,0,0,FALSE
"287",0,0,0,0,0,1,1,FALSE
"289",0,0,0,0,0,0,0,FALSE
"291",0,0,0,0,0,0,0,FALSE
"292",0,0,0,1,0,0,0,FALSE
"293",0,0,0,1,0,1,0,FALSE
"295",0,0,0,0,0,0,1,FALSE
"298",0,0,0,1,0,0,0,FALSE
"299",0,0,1,0,0,0,0,FALSE
"301",0,0,0,1,0,0,0,FALSE
"302",0,0,0,1,0,0,0,FALSE
"305",0,1,0,1,0,0,0,FALSE
"307",0,0,1,0,0,0,0,FALSE
"309",1,0,0,0,0,0,0,FALSE
"310",0,0,1,0,0,0,0,FALSE
"311",0,0,0,1,0,0,0,FALSE
"314",0,0,0,0,0,0,0,FALSE
"315",0,0,0,0,0,0,1,FALSE
"316",0,0,0,0,0,1,0,FALSE
"317",0,0,0,0,0,0,0,FALSE
"318",0,0,0,0,0,0,0,FALSE
"320",0,1,0,0,1,0,0,FALSE
"321",0,0,0,0,0,0,0,FALSE
"322",0,0,0,0,0,1,0,FALSE
"323",0,0,0,0,0,1,1,FALSE
"324",0,0,0,0,0,0,0,FALSE
"325",0,0,0,0,0,0,0,FALSE
"326",0,0,0,1,0,0,0,FALSE
"327",0,0,1,0,0,0,0,FALSE
"329",0,0,0,0,0,0,1,FALSE
"330",0,0,0,0,0,0,0,FALSE
"331",0,0,1,1,0,0,0,FALSE
"332",0,0,0,1,0,0,0,FALSE
"333",0,0,1,1,1,0,0,FALSE
"340",1,0,1,0,1,1,0,FALSE
"341",1,0,1,1,0,1,0,FALSE
"342",0,0,0,0,0,0,1,FALSE
"343",0,0,0,0,0,0,0,FALSE
"344",0,0,1,0,0,1,0,FALSE
"345",0,0,0,0,0,1,0,FALSE
"347",0,0,0,0,0,0,0,FALSE
"349",0,0,0,0,0,0,0,FALSE
"352",0,0,0,0,0,0,0,TRUE
"353",0,0,0,0,0,0,0,FALSE
"354",0,0,0,0,0,0,0,FALSE
"355",0,0,1,0,1,0,1,FALSE
"357",0,0,0,1,0,0,0,FALSE
"358",0,0,0,1,0,0,0,FALSE
"359",0,0,0,0,0,0,0,FALSE
"360",0,0,1,0,0,1,0,FALSE
"361",0,0,0,1,0,1,0,FALSE
"362",0,0,0,0,0,0,0,FALSE
"363",0,0,0,1,1,1,1,FALSE
